run_id,num_missiles,engagement_range,axis,hits,destroyed,timeouts,ship_killed,hits_taken
6,5,2000.0,broadside,0,5,0,0,0
7,5,2000.0,broadside,0,5,0,0,0
8,5,2000.0,broadside,0,5,0,0,0
9,5,2000.0,broadside,0,5,0,0,0
10,5,2000.0,broadside,0,5,0,0,0
1,6,2000.0,broadside,0,6,0,0,0
2,6,2000.0,broadside,0,6,0,0,0
3,6,2000.0,broadside,0,6,0,0,0
4,6,2000.0,broadside,0,6,0,0,0
5,6,2000.0,broadside,0,6,0,0,0
6,6,2000.0,broadside,0,6,0,0,0
7,6,2000.0,broadside,0,6,0,0,0
8,6,2000.0,broadside,0,6,0,0,0
9,6,2000.0,broadside,0,6,0,0,0
10,6,2000.0,broadside,0,6,0,0,0
1,8,2000.0,broadside,2,6,0,0,2
2,8,2000.0,broadside,1,7,0,0,1
3,8,2000.0,broadside,1,7,0,0,1
4,8,2000.0,broadside,2,6,0,0,2
5,8,2000.0,broadside,2,6,0,0,2
6,8,2000.0,broadside,2,6,0,0,2
7,8,2000.0,broadside,2,6,0,0,2
8,8,2000.0,broadside,0,8,0,0,0
9,8,2000.0,broadside,2,6,0,0,2
10,8,2000.0,broadside,2,6,0,0,2
1,10,2000.0,broadside,3,7,0,0,3
2,10,2000.0,broadside,1,9,0,0,1
3,10,2000.0,broadside,3,7,0,0,3
4,10,2000.0,broadside,5,5,0,0,5
5,10,2000.0,broadside,5,5,0,0,5
6,10,2000.0,broadside,3,7,0,0,3
7,10,2000.0,broadside,2,8,0,0,2
8,10,2000.0,broadside,4,6,0,0,4
9,10,2000.0,broadside,3,7,0,0,3
10,10,2000.0,broadside,4,6,0,0,4
1,15,2000.0,broadside,9,6,0,0,9
2,15,2000.0,broadside,8,7,0,0,8
3,15,2000.0,broadside,9,6,0,0,9
4,15,2000.0,broadside,9,6,0,0,9
5,15,2000.0,broadside,9,6,0,0,9
6,15,2000.0,broadside,9,6,0,0,9
7,15,2000.0,broadside,8,7,0,0,8
8,15,2000.0,broadside,8,7,0,0,8
9,15,2000.0,broadside,11,4,0,0,11
10,15,2000.0,broadside,7,8,0,0,7
1,1,3500.0,broadside,0,1,0,0,0
2,1,3500.0,broadside,0,1,0,0,0
3,1,3500.0,broadside,0,1,0,0,0
4,1,3500.0,broadside,0,1,0,0,0
5,1,3500.0,broadside,0,1,0,0,0
6,1,3500.0,broadside,0,1,0,0,0
